MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight,SUM_YR_1_log,SUM_YR_2_log,AVG_INTERVAL_sqrt,AGE_GROUP,Distance_Group
2039623,2023-08-20,2015-07-03,M,0,Guangzhou,Si Chuan,China,29,2024-08-14,4,50283,21601,36209,129932,2022-12-31,592,92,108,4,1,58363,11,9.980541181978419,10.497090602759688,9.591663046625438,Young Adult,100k-200k
2011755,2014-01-16,2015-07-03,M,0,Chengdu,Shanghai,India,70,2024-12-28,10,51919,2914,20748,194612,2024-01-22,8,145,292,1,0,491407,11,7.977625098784593,9.940253331726451,12.041594578792296,Senior,100k-200k
2017828,2019-08-05,2015-07-03,M,0,Guangzhou,Guangdong,India,40,2024-12-28,5,25392,41152,32693,288976,2024-01-22,528,90,451,2,1,101734,10,10.625052107457568,10.394946853811152,9.486832980505138,Adult,200k+
2011308,2012-07-06,2015-07-03,M,0,Chengdu,Guangdong,China,28,2024-12-28,3,22167,38415,37948,426342,2024-01-22,321,196,248,4,2,340122,13,10.556229318461034,10.543998432015464,14.0,Young Adult,200k+
2051470,2018-01-23,2015-07-03,M,0,Shenzhen,Shanghai,China,35,2024-12-28,5,8640,45976,18458,26004,2024-01-22,117,44,300,0,1,379411,10,10.73589655042955,9.8233073354086,6.6332495807108,Adult,20k-50k
2008441,2014-08-21,2015-07-03,M,0,Hangzhou,Jiangsu,United States,38,2024-12-28,2,30246,101774,42587,490333,2024-01-22,100,149,159,4,2,257105,15,11.53051977337118,10.659327802434497,12.206555615733702,Adult,200k+
2039540,2018-01-23,2015-07-03,F,0,Chengdu,Hubei,United States,40,2024-12-28,1,6442,23761,2699,31258,2024-02-24,99,22,248,6,1,156459,12,10.075842945018232,7.90100705199242,4.69041575982343,Adult,20k-50k
2005842,2011-08-21,2015-07-03,M,0,Shanghai,Shanghai,China,70,2024-12-28,5,38372,47121,17822,231912,2024-01-13,230,34,282,6,1,440536,5,10.760495262246444,9.78824503702385,5.830951894845301,Senior,200k+
2024025,2023-06-12,2015-07-03,M,0,Xian,Guangdong,United States,47,2025-04-16,6,32258,9959,28515,326113,2024-01-22,45,4,164,2,1,104224,14,9.206332350578643,10.258220612237519,2.0,Middle Age,200k+
2050692,2018-01-23,2015-07-03,F,0,Chong Qing,Zhe Jiang,India,43,2024-12-28,10,12931,67162,54440,592644,2024-01-22,261,63,117,7,1,2241,9,11.114877779639926,10.904872825443134,7.937253933193772,Adult,
2048823,2018-01-23,2022-12-13,F,2,Nanjing,Zhe Jiang,China,21,2024-12-28,8,51689,31411,3727,160970,2024-01-22,453,1,429,5,1,94742,10,10.354945264494765,8.223627175805483,1.0,Young Adult,100k-200k
2010888,2018-01-23,2015-07-03,F,0,Shanghai,Shanghai,United States,70,2024-12-28,4,3659,83143,43568,26878,2023-07-09,360,63,231,1,0,316366,10,11.328329323268257,10.682101167275913,7.937253933193772,Senior,20k-50k
2012797,2018-01-23,2015-07-03,M,2,Beijing,Shanghai,India,39,2024-12-28,3,4497,53943,17770,291185,2024-01-22,403,150,275,2,1,13495,6,10.895701750414418,9.785323194185485,12.24744871391589,Adult,200k+
2054482,2018-01-23,2015-07-03,M,2,Wuhan,Shanghai,China,43,2024-12-28,3,32213,79122,33747,276551,2024-01-22,494,94,206,4,1,386632,16,11.278758882665727,10.426676435285517,9.695359714832659,Adult,200k+
2006840,2018-01-23,2015-07-03,M,2,Shanghai,Guangdong,China,28,2025-01-05,4,60959,39889,57069,432890,2024-01-22,475,146,529,7,0,298773,11,10.593880944899452,10.952033863530755,12.083045973594572,Young Adult,200k+
2011033,2018-01-23,2015-07-03,M,0,Chengdu,Si Chuan,China,31,2024-12-28,6,26867,12508,57715,214267,2024-01-22,565,15,303,4,1,356084,7,9.434203664214742,10.963289710417147,3.872983346207417,Adult,200k+
2000506,2018-01-23,2015-07-03,F,0,Guangzhou,Shanghai,China,45,2024-12-28,3,62551,89928,18391,177386,2024-01-22,464,160,762,2,1,100741,7,11.406775749086924,9.819671066443018,12.649110640673518,Adult,100k-200k
2061659,2019-05-30,2015-07-03,M,0,Chong Qing,Guangdong,China,37,2024-12-28,3,70204,70502,47095,279252,2024-01-22,373,62,306,3,1,3993,11,11.163410541086488,10.759943350708097,7.874007874011811,Adult,200k+
2008704,2018-01-23,2013-12-27,M,0,Xian,Beijing,India,44,2024-12-28,2,87,93042,50914,356674,2024-01-22,503,86,389,2,1,240579,13,11.440817030868757,10.837912854605765,9.273618495495704,Adult,200k+
2046238,2018-01-23,2015-07-03,F,1,Hangzhou,Shanghai,United States,37,2025-07-31,2,35972,46450,28066,193800,2024-01-22,74,155,238,2,1,138921,12,10.746153272535546,10.242349787976345,12.449899597988733,Adult,100k-200k
2041145,2018-01-23,2015-07-03,F,0,Chengdu,Shanghai,China,70,2024-12-28,5,47103,40690,31373,221697,2024-01-22,142,292,701,4,1,107984,12,10.613762216756664,10.353734803416186,17.08800749063506,Senior,200k+
2000211,2018-01-23,2007-11-14,M,1,Beijing,Zhe Jiang,India,40,2024-12-28,7,24006,19602,2390,483748,2025-07-13,48,14,235,2,1,180737,14,9.883437894730424,7.779466967458324,3.7416573867739413,Adult,200k+
2046116,2013-06-14,2021-12-12,F,0,Wuhan,Si Chuan,United States,70,2024-12-28,4,57797,45139,33429,47034,2024-01-22,433,29,682,6,1,166696,7,10.717524050371527,10.417208979414145,5.385164807134504,Senior,20k-50k
2025269,2018-01-23,2015-07-03,M,0,Shenzhen,Si Chuan,India,58,2024-08-05,6,28355,2987,17222,365507,2024-01-22,371,40,466,2,1,366652,12,8.002359546252707,9.754000978835746,6.324555320336759,Middle Age,200k+
2017984,2018-01-23,2015-07-03,F,0,Hangzhou,Shanghai,India,34,2024-12-28,3,50982,53220,32951,180525,2024-01-22,610,133,603,3,1,179742,7,10.88220833428375,10.402807236115917,11.532562594670797,Adult,100k-200k
2058760,2018-01-23,2013-11-15,M,1,Nanjing,Si Chuan,China,37,2024-12-28,6,28218,55233,1411,39512,2023-12-10,390,110,77,0,0,104592,7,10.919333984679737,7.252762418053187,10.488088481701515,Adult,20k-50k
2000053,2018-01-23,2015-07-03,M,2,Beijing,Shanghai,China,48,2024-12-28,6,61935,41352,92942,540002,2024-01-22,641,7,450,2,1,21221,10,10.629900249210682,11.439741681007623,2.6457513110645907,Middle Age,
2009937,2018-01-23,2023-04-18,M,0,Hangzhou,Shanghai,United States,27,2024-12-28,7,44913,5028,6281,21845,2024-01-22,4,60,75,4,1,316386,13,8.522976436171964,8.745443680098592,7.745966692414834,Young Adult,20k-50k
2018714,2012-06-04,2015-07-03,F,2,Nanjing,Shanghai,China,33,2024-12-28,6,75,27793,69661,474501,2024-01-22,89,208,59,3,0,312820,17,10.232575449046527,11.151410254389267,14.422205101855956,Adult,200k+
2003661,2018-01-23,2015-07-03,M,1,Chong Qing,Shanghai,China,20,2024-12-28,2,22717,51309,24430,69125,2024-01-22,48,155,227,2,2,166768,13,10.84564094393601,10.103608096692797,12.449899597988733,Young Adult,50k-100k
2014638,2018-01-23,2015-07-03,M,0,Chengdu,Beijing,China,70,2024-12-28,6,58236,18077,65124,324654,2024-01-07,375,62,152,2,1,591846,8,9.802451008358355,11.084063779055668,7.874007874011811,Senior,200k+
2036426,2018-01-23,2015-07-03,F,0,Shenzhen,Si Chuan,United States,47,2024-12-28,4,83245,21037,106432,244557,2024-01-22,613,113,148,1,1,170839,12,9.95408560529922,11.575270958178935,10.63014581273465,Middle Age,200k+
2021729,2014-12-30,2015-07-03,F,1,Nanjing,Guangdong,China,30,2025-11-24,7,44769,33750,93980,243417,2024-01-22,617,74,396,2,1,286634,9,10.426765325491356,11.450847913162018,8.602325267042627,Young Adult,200k+
2013677,2018-01-23,2015-07-03,M,0,Beijing,Chongqing,India,25,2024-12-28,2,47724,23585,65150,421434,2024-01-22,471,108,256,1,1,313602,11,10.068408594649915,11.08446293162936,10.392304845413264,Young Adult,200k+
2057951,2023-09-10,2015-07-03,M,2,Xian,Guangdong,China,44,2024-12-28,5,16460,25868,91467,177863,2022-02-22,684,198,502,0,0,53481,8,10.160800619620435,11.423744463318986,14.071247279470288,Adult,100k-200k
2045141,2018-01-23,2011-10-18,F,0,Xian,Beijing,United States,43,2025-05-01,2,42389,62786,24246,35727,2025-02-01,89,89,101,3,1,51043,5,11.047503324658088,10.096048177372545,9.433981132056603,Adult,20k-50k
2057290,2018-01-23,2015-07-03,M,0,Guangzhou,Shanghai,India,58,2024-12-28,5,10823,56002,65308,54028,2024-01-22,182,15,80,3,2,101262,13,10.93316053971096,11.086885131188605,3.872983346207417,Middle Age,50k-100k
2013947,2018-01-23,2020-05-26,F,0,Shenzhen,Shanghai,China,25,2024-12-28,10,57724,29677,4160,261516,2024-05-31,700,240,621,3,1,109687,9,10.298161309566071,8.333510708982942,15.491933384829668,Young Adult,200k+
2052491,2018-01-23,2015-07-03,F,2,Wuhan,Shanghai,India,41,2024-12-28,5,6767,920,65669,55109,2022-12-13,413,48,203,2,1,241294,15,6.825460036255307,11.092397479185019,6.928203230275509,Adult,50k-100k
2032702,2018-01-23,2015-07-03,M,0,Chong Qing,Jiangsu,China,34,2024-12-28,1,62175,59639,31825,211047,2024-01-22,330,186,692,2,1,110711,7,10.996081768878675,10.36803884477013,13.638181696985855,Adult,200k+
2017715,2018-01-23,2009-05-08,M,0,Hangzhou,Beijing,China,42,2024-12-28,3,60035,39537,5232,330642,2024-01-22,295,122,136,5,2,143023,12,10.585017513755883,8.562740006372207,11.045361017187261,Adult,200k+
2020893,2018-01-23,2015-07-03,M,0,Beijing,Chongqing,India,29,2024-12-28,4,33237,31739,55254,368919,2024-01-22,209,11,462,4,1,232766,14,10.3653329940804,10.919714113022883,3.3166247903554,Young Adult,200k+
2021122,2018-01-23,2005-12-06,M,0,Beijing,Guangdong,China,45,2024-12-28,5,37343,54152,29503,271023,2023-11-27,380,206,149,3,2,247183,9,10.899568652556571,10.29228112635632,14.352700094407323,Adult,200k+
2016107,2018-01-23,2019-05-24,M,0,Shanghai,Zhe Jiang,India,45,2024-12-28,3,21241,24251,26076,209904,2024-01-22,497,55,371,4,1,133477,5,10.096254367191621,10.168808978749206,7.416198487095663,Adult,200k+
2011497,2018-01-23,2015-07-03,F,0,Shenzhen,Beijing,China,51,2024-12-28,1,21916,44885,92650,314345,2024-01-22,349,123,747,2,2,305678,11,10.71188122110046,11.436595024963408,11.090536506409418,Middle Age,200k+
2012970,2018-01-23,2015-07-03,M,0,Wuhan,Si Chuan,China,39,2024-12-28,6,22681,30286,57380,210427,2024-01-22,69,182,88,2,2,245569,13,10.318473856527929,10.957468517058643,13.490737563232042,Adult,200k+
2045161,2018-01-23,2015-07-03,M,0,Shenzhen,Jiangsu,China,45,2024-12-28,8,16557,57028,17609,309261,2024-06-12,233,31,279,4,1,194602,10,10.951315189365955,9.776222201490253,5.5677643628300215,Adult,200k+
2036945,2018-01-23,2015-07-03,M,0,Wuhan,Chongqing,China,35,2025-01-22,5,576,32824,61439,134731,2024-01-22,410,147,505,5,1,286690,9,10.398945699170996,11.025816367821553,12.12435565298214,Adult,100k-200k
2017161,2018-01-23,2015-07-03,M,1,Shenzhen,Shanghai,United States,42,2025-12-25,6,36493,37245,41730,347435,2024-01-22,97,58,27,0,1,36238,11,10.52529983549145,10.638999536873841,7.615773105863909,Adult,200k+
2057068,2018-01-23,2015-07-03,M,0,Shanghai,Shanghai,India,46,2024-12-28,2,42237,26579,57193,344335,2024-12-16,85,34,217,0,0,101747,6,10.187914332267237,10.954204276761118,5.830951894845301,Middle Age,200k+
2019525,2018-01-23,2011-01-20,M,1,Nanjing,Beijing,India,43,2024-12-28,4,44032,4485,13974,1679,2024-01-22,686,66,442,4,1,101824,14,8.408716715080153,9.5450252980233,8.12403840463596,Adult,0-5k
2062021,2018-01-23,2022-07-19,M,0,Wuhan,Shanghai,China,62,2025-09-08,4,57165,27828,4622,191453,2024-09-13,360,168,68,2,2,54868,15,10.233833921427351,8.438799123988225,12.96148139681572,Senior,100k-200k
2008875,2024-05-26,2015-07-03,M,2,Hangzhou,Beijing,China,45,2025-08-12,3,61454,29450,40904,172931,2024-01-22,502,64,179,1,2,196478,9,10.290483144360632,10.619007583947798,8.0,Adult,100k-200k
2007252,2018-01-23,2015-07-03,M,2,Chong Qing,Zhe Jiang,China,53,2024-12-28,7,7874,59274,3931,61075,2024-01-22,337,96,361,0,1,304821,9,10.989942910933607,8.276903481267057,9.797958971132712,Middle Age,50k-100k
2016172,2018-02-09,2015-07-03,M,1,Hangzhou,Shanghai,China,49,2025-11-06,4,5331,22637,25536,325551,2024-01-22,149,119,231,7,1,566027,6,10.027385189192366,10.147883659883789,10.908712114635714,Middle Age,200k+
2012401,2018-01-23,2015-07-03,M,1,Shenzhen,Si Chuan,China,53,2025-04-16,7,26931,46587,12335,372848,2023-09-10,584,25,434,6,1,372269,7,10.749098276222542,9.42027709580311,5.0,Middle Age,200k+
2006988,2018-01-23,2015-07-03,F,0,Shenzhen,Jiangsu,China,43,2024-12-28,6,59302,19502,45567,270237,2024-07-11,495,118,321,2,0,229861,13,9.878323578872578,10.726960994771648,10.862780491200215,Adult,200k+
2051274,2018-01-23,2015-07-03,M,1,Shanghai,Beijing,China,47,2024-12-28,2,11109,78863,106432,345107,2024-03-27,290,77,615,7,1,14376,11,11.275480128945158,11.575270958178935,8.774964387392123,Middle Age,200k+
2018499,2018-01-23,2015-07-03,F,0,Shanghai,Zhe Jiang,United States,32,2024-12-29,2,20278,48389,1484,214259,2024-05-26,217,145,354,7,1,248088,6,10.787048459787364,7.3031700512368,12.041594578792296,Adult,200k+
2003699,2022-09-15,2015-07-03,M,2,Shenzhen,Guangdong,China,37,2025-07-25,3,3043,4178,10238,263589,2023-11-24,609,12,139,4,2,223589,17,8.337827262447915,9.233959237574817,3.4641016151377544,Adult,200k+
2047035,2015-09-18,2015-07-03,F,0,Guangzhou,Jiangsu,China,47,2024-12-28,4,43020,40450,83633,144319,2024-04-04,256,156,266,1,1,97097,11,10.60784664405992,11.33420541495794,12.489995996796797,Middle Age,100k-200k
2048754,2018-01-23,2015-07-03,F,1,Xian,Jiangsu,India,49,2024-12-28,6,10875,73835,34942,36114,2024-02-04,356,80,31,1,2,242491,10,11.209601696528491,10.46147344147898,8.94427190999916,Middle Age,20k-50k
2027750,2018-01-23,2015-07-03,M,1,Chengdu,Guangdong,India,55,2025-08-22,2,45383,65700,55469,430180,2024-01-22,256,183,395,1,1,86250,6,11.092869425057021,10.92359761304928,13.527749258468683,Middle Age,200k+
2036774,2018-01-23,2015-07-03,M,0,Shanghai,Si Chuan,China,54,2025-07-01,5,9593,122434,40582,334380,2024-01-22,354,64,535,4,2,290760,15,11.715335555897527,10.611104538690634,8.0,Middle Age,200k+
2053014,2018-01-23,2022-07-15,M,0,Nanjing,Zhe Jiang,China,35,2024-12-28,4,43941,103771,11119,200905,2023-08-11,476,176,399,3,1,340539,11,11.549951463806675,9.316500567804573,13.2664991614216,Adult,200k+
2005693,2018-01-23,2015-07-03,M,1,Beijing,Guangdong,China,39,2024-12-28,5,36753,43193,16043,127705,2023-08-24,627,50,414,1,1,216220,7,10.673456875697358,9.683090226889943,7.0710678118654755,Adult,100k-200k
2030396,2018-01-23,2013-12-08,F,2,Nanjing,Shanghai,China,53,2024-12-28,8,34461,112418,46195,150121,2024-02-25,432,22,437,5,0,137522,13,11.62998824130213,10.740648493234978,4.69041575982343,Middle Age,100k-200k
2030169,2018-01-23,2015-07-03,M,2,Chong Qing,Shanghai,India,39,2024-12-28,3,28673,34033,91665,248817,2024-01-22,542,124,587,2,1,371298,9,10.435115303931381,11.42590681522688,11.135528725660043,Adult,200k+
2030690,2018-01-23,2005-09-19,F,1,Chengdu,Zhe Jiang,China,51,2024-12-28,6,14746,13917,1671,323064,2024-01-22,611,44,456,2,1,200069,6,9.540938245404796,7.421775793644647,6.6332495807108,Middle Age,200k+
2027289,2018-01-23,2015-07-03,M,2,Shanghai,Zhe Jiang,China,34,2024-12-28,3,43965,108367,90153,66032,2023-01-22,381,189,206,5,2,176758,8,11.593288121454686,11.409274598140744,13.74772708486752,Adult,50k-100k
2020341,2024-05-20,2006-03-04,M,2,Guangzhou,Zhe Jiang,United States,42,2024-12-28,4,37493,24340,71479,440580,2023-09-17,633,101,353,4,2,351052,11,10.099917450331915,11.177172969273364,10.04987562112089,Adult,200k+
2016707,2018-01-23,2015-07-03,M,2,Hangzhou,Zhe Jiang,China,31,2024-12-28,7,11719,25492,42861,373289,2024-12-26,314,40,56,0,2,247749,11,10.146159183657883,10.665740931494621,6.324555320336759,Adult,200k+
2051315,2018-01-23,2011-06-27,M,0,Beijing,Shanghai,China,28,2024-12-28,3,13890,41523,6839,246082,2024-01-22,617,11,30,4,0,221708,9,10.634026852313136,8.830543010616596,3.3166247903554,Young Adult,200k+
2057869,2018-01-23,2010-03-28,F,0,Xian,Chongqing,India,47,2024-12-28,4,30201,14871,90506,122595,2024-01-22,503,183,3,1,1,381619,11,9.60723552940128,11.413182474763108,13.527749258468683,Middle Age,100k-200k
2013695,2010-04-07,2015-07-03,M,1,Guangzhou,Guangdong,United States,44,2024-12-28,6,55537,1331,25439,124410,2024-01-22,633,122,518,4,0,279105,11,7.194436851100335,10.144078017454058,11.045361017187261,Adult,100k-200k
2058029,2018-01-23,2015-07-03,M,0,Beijing,Zhe Jiang,China,48,2024-12-07,5,24441,13894,30667,140712,2024-01-22,190,24,158,2,0,299656,12,9.539284342176604,10.330975044678786,4.898979485566356,Middle Age,100k-200k
2055230,2018-01-23,2015-07-03,M,0,Chengdu,Shanghai,China,52,2025-09-21,8,50430,92191,21106,260867,2024-01-22,142,96,267,6,1,130324,10,11.431628637884256,9.957360018000617,9.797958971132712,Middle Age,200k+
2060928,2018-01-23,2025-11-22,M,1,Beijing,Zhe Jiang,India,52,2024-12-28,4,10176,26727,15640,185794,2024-01-22,526,1,423,4,2,333900,9,10.193466984036592,9.657650950674242,1.0,Middle Age,100k-200k
2035360,2018-01-23,2015-07-03,M,0,Chengdu,Guangdong,India,37,2025-04-11,6,38962,31709,37504,150674,2024-01-22,54,117,164,3,1,259268,10,10.364387367532393,10.532229536403737,10.816653826391969,Adult,100k-200k
2011235,2018-01-23,2015-07-03,M,0,Wuhan,Si Chuan,China,42,2024-12-28,6,60453,49258,54566,252474,2023-05-02,464,144,441,3,1,121524,10,10.804847371021863,10.90718458340795,12.0,Adult,200k+
2040934,2018-01-23,2015-07-03,M,1,Hangzhou,Chongqing,China,50,2024-12-28,9,7826,54173,8889,308782,2022-10-30,651,17,430,3,2,401963,12,10.899956367535534,9.09268232850795,4.123105625617661,Middle Age,200k+
2017010,2018-01-23,2015-03-29,M,1,Chong Qing,Beijing,United States,35,2024-12-28,5,9245,90767,47230,178299,2024-01-22,577,115,110,1,0,91272,8,11.416062079566348,10.762805735649291,10.723805294763608,Adult,100k-200k
2008778,2018-01-23,2015-07-03,M,0,Nanjing,Guangdong,China,38,2024-12-28,2,3003,28948,11869,507229,2024-01-22,261,2,382,2,2,64855,6,10.273290940090206,9.381769487603714,1.4142135623730951,Adult,
2038386,2018-01-23,2015-07-03,M,0,Hangzhou,Chongqing,China,70,2025-07-20,8,8277,85878,49616,348112,2024-01-22,262,89,183,4,1,253555,10,11.36069460777029,10.812088795925902,9.433981132056603,Senior,200k+
2020364,2018-01-23,2015-07-03,F,2,Xian,Shanghai,China,40,2025-11-26,2,55619,37658,26665,126292,2024-01-22,616,193,424,4,1,310422,7,10.536327248486318,10.191144624675404,13.892443989449804,Adult,100k-200k
2046788,2018-01-23,2021-02-04,F,2,Shenzhen,Guangdong,China,31,2024-12-28,2,25949,44376,29615,70855,2024-01-22,483,42,200,3,2,148448,9,10.700476596184611,10.296070034813278,6.48074069840786,Adult,50k-100k
2023314,2018-01-23,2015-07-03,M,0,Shanghai,Guangdong,United States,30,2024-12-28,6,58106,11867,5771,24288,2025-08-08,23,268,581,2,1,333545,13,9.381600981410713,8.660773919893762,16.3707055437449,Young Adult,20k-50k
2000781,2018-01-23,2015-07-03,M,1,Nanjing,Shanghai,China,38,2024-12-28,4,16559,45994,43628,341323,2024-01-22,239,91,375,2,1,195977,9,10.736287973911258,10.68347734584582,9.539392014169456,Adult,200k+
2035796,2018-01-23,2015-07-03,M,1,Xian,Si Chuan,China,44,2024-12-22,2,19424,3481,86726,282280,2024-01-22,448,160,216,6,2,202156,6,8.155362120328135,11.370520532973021,12.649110640673518,Adult,200k+
2006212,2018-01-23,2006-12-29,F,0,Shenzhen,Hubei,United States,48,2024-12-28,6,22313,7199,10427,309387,2023-04-28,663,98,62,2,0,119224,11,8.881836305004146,9.252249775053393,9.899494936611665,Middle Age,200k+
2030979,2018-01-23,2015-07-03,F,0,Wuhan,Guangdong,India,50,2024-12-28,4,27342,29197,47391,482531,2024-01-22,653,83,673,2,1,127249,17,10.281855492759925,10.766208717067526,9.1104335791443,Middle Age,200k+
2037579,2013-09-18,2011-05-14,M,0,Chong Qing,Beijing,China,46,2025-05-22,8,13742,24943,4456,198860,2023-07-26,666,141,452,6,1,51606,8,10.124388591297558,8.402231172946555,11.874342087037917,Middle Age,100k-200k
2017759,2018-01-23,2013-06-17,M,0,Chong Qing,Guangdong,India,70,2025-10-12,5,6046,62584,20332,154335,2024-01-22,442,206,112,2,1,123756,15,11.044280911762124,9.920000460910341,14.352700094407323,Senior,100k-200k
2010675,2018-01-23,2017-08-15,F,0,Xian,Si Chuan,China,34,2024-12-28,3,7856,53038,21804,280665,2025-03-01,298,99,221,3,1,206483,11,10.878782770986687,9.989894580276866,9.9498743710662,Adult,200k+
2009421,2018-01-23,2015-07-03,F,2,Wuhan,Shanghai,China,28,2024-12-28,8,37797,11894,32011,316141,2024-01-22,581,48,205,5,1,127062,6,9.383873422737057,10.373866111486937,6.928203230275509,Young Adult,200k+
2029997,2018-01-23,2015-07-03,M,1,Shanghai,Hubei,China,70,2024-12-28,4,38969,26066,57051,210380,2024-01-22,562,188,502,4,1,87463,18,10.168425425507316,10.951718411643313,13.711309200802088,Senior,200k+
2035126,2018-01-23,2015-07-03,M,2,Beijing,Guangdong,China,70,2025-12-16,3,67090,5725,2282,88777,2024-12-21,360,107,396,2,1,323365,5,8.65277248565806,7.733245646529795,10.344080432788601,Senior,50k-100k
2021848,2018-01-23,2023-04-19,M,1,Shenzhen,Zhe Jiang,India,35,2024-12-28,3,27728,51594,4874,248298,2024-01-22,17,115,125,0,1,153596,14,10.851180047549814,8.491875383431948,10.723805294763608,Adult,200k+
2029773,2018-01-23,2015-07-03,F,0,Shenzhen,Zhe Jiang,China,39,2025-04-06,3,6074,20830,44804,63623,2024-01-22,511,36,383,1,1,87670,6,9.944197540783914,10.71007501931832,6.0,Adult,50k-100k
2015999,2018-01-23,2015-07-03,F,1,Shanghai,Shanghai,India,35,2025-06-18,2,16840,15765,16781,91368,2024-01-22,38,32,307,3,1,168804,10,9.665611001619853,9.728062162430014,5.656854249492381,Adult,50k-100k
2007169,2018-01-23,2007-10-19,F,0,Chengdu,Si Chuan,India,26,2024-12-28,5,46014,59570,3403,301378,2024-12-08,289,85,319,5,1,205087,11,10.994924157455142,8.132706489693264,9.219544457292887,Young Adult,200k+
2043080,2018-01-23,2015-07-03,M,0,Wuhan,Shanghai,China,26,2024-12-28,5,7761,46241,71557,236529,2024-01-22,59,129,527,2,1,45715,8,10.741643755006049,11.178263588657464,11.357816691600547,Young Adult,200k+
2044768,2018-01-23,2015-07-03,F,2,Beijing,Guangdong,China,25,2024-12-28,6,28726,51560,77192,353247,2024-01-22,416,110,357,3,1,47075,8,10.850520851744797,11.254064058326641,10.488088481701515,Young Adult,200k+
2044602,2011-12-06,2015-07-03,M,1,Shanghai,Si Chuan,China,70,2025-03-14,6,20231,73025,69751,264392,2025-03-04,10,103,490,3,1,28597,9,11.198570821102612,11.15270137310765,10.14889156509222,Senior,200k+
2003907,2018-01-23,2015-07-03,F,1,Shenzhen,Shanghai,China,41,2024-12-28,3,27392,56252,57438,197206,2024-01-22,592,27,327,4,0,192062,11,10.937614651977828,10.958478794099808,5.196152422706632,Adult,100k-200k
2017017,2018-01-23,2022-11-18,M,0,Chengdu,Beijing,China,27,2024-12-28,6,7705,54679,21088,68460,2024-01-22,40,109,331,4,1,346825,16,10.909253290837885,9.956506856511764,10.44030650891055,Young Adult,50k-100k
2032555,2018-01-23,2015-07-03,F,0,Hangzhou,Guangdong,China,39,2024-12-28,2,29266,58377,38174,321384,2024-01-07,700,62,781,4,1,256687,6,10.974694385513637,10.549936130086833,7.874007874011811,Adult,200k+
2045917,2018-01-23,2015-07-03,M,0,Nanjing,Zhe Jiang,China,50,2024-12-28,3,45475,92417,49173,71827,2025-02-23,55,130,367,4,1,120674,6,11.434077043852513,10.80312030751414,11.40175425099138,Middle Age,50k-100k
2061274,2018-01-23,2015-07-03,F,0,Beijing,Beijing,China,55,2024-12-28,3,31425,57590,6710,36971,2024-01-22,533,285,229,1,1,251855,6,10.961121584475679,8.811503250158239,16.881943016134134,Middle Age,20k-50k
2003271,2018-01-23,2025-04-22,M,0,Beijing,Hubei,China,53,2024-12-28,3,41774,33974,19813,63544,2024-01-22,312,11,563,6,0,178891,14,10.433380239019344,9.894144037532975,3.3166247903554,Middle Age,50k-100k
2037424,2022-12-17,2015-07-03,M,2,Nanjing,Shanghai,United States,29,2024-12-28,1,49817,62819,23353,378361,2024-01-22,649,155,560,5,0,136577,9,11.048028773092637,10.058523554635661,12.449899597988733,Young Adult,200k+
2058685,2016-10-06,2015-07-03,M,0,Shenzhen,Shanghai,China,30,2024-12-28,1,48256,13745,25808,261946,2024-01-22,664,58,257,2,1,22524,13,9.52850315168155,10.158478547289457,7.615773105863909,Young Adult,200k+
2038272,2018-01-23,2015-07-03,F,2,Shenzhen,Si Chuan,India,70,2024-12-28,5,115,37455,11209,425277,2024-11-27,327,47,449,5,1,32448,10,10.530922189730692,9.324561516066206,6.855654600401044,Senior,200k+
2041398,2017-02-27,2014-05-23,F,0,Shenzhen,Zhe Jiang,China,46,2024-12-28,8,9304,67678,65115,371480,2024-01-22,399,123,403,2,0,270208,10,11.122531218757235,11.0839255737284,11.090536506409418,Middle Age,200k+
2026582,2018-01-23,2015-07-03,M,0,Wuhan,Guangdong,China,29,2024-12-28,3,25039,12482,40961,141066,2023-03-17,700,10,356,3,1,263803,12,9.432122997651051,10.620400086646335,3.1622776601683795,Young Adult,100k-200k
2003100,2018-01-23,2015-07-03,M,0,Xian,Beijing,China,48,2024-12-28,5,20983,33059,49785,169646,2023-05-22,347,16,211,0,1,330307,13,10.406079371375014,10.815489098991852,4.0,Middle Age,100k-200k
2059529,2018-01-23,2015-07-03,F,0,Nanjing,Beijing,India,34,2024-12-28,5,20845,113272,39899,252117,2024-01-22,401,23,238,0,2,61823,13,11.637556113232922,10.594131602877955,4.795831523312719,Adult,200k+
2004949,2018-01-23,2016-03-13,M,2,Shanghai,Si Chuan,China,35,2024-12-30,6,83245,68367,21358,15494,2024-01-22,368,206,275,1,0,189165,6,11.132660157883807,9.969228475498804,14.352700094407323,Adult,5k-20k
2023716,2018-01-23,2015-07-03,F,2,Beijing,Shanghai,China,46,2024-12-28,5,54060,59639,51832,350034,2024-01-22,343,28,365,2,1,262022,6,10.996081768878675,10.855782291044472,5.291502622129181,Middle Age,200k+
